   main_id   |plx_value|    rvz_redshift     |teff 
"*  16 Lib"  |36.3454  |8.773120541927248E-5 |7007 
"*  16 Lib"  |36.3454  |8.773120541927248E-5 |7020 
"*  16 Lib"  |36.3454  |8.773120541927248E-5 |7063 
"*  16 Lyr"  |25.7832  |1.634477424050651E-5 |7888 
"*  16 Lyr"  |25.7832  |1.634477424050651E-5 |7925 
"*  16 Per"  |27.01    |4.670006377560654E-5 |6942 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6184 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6248 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6311 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6347 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6372 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6378 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6396 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6401 
"*  16 Psc"  |30.6828  |1.6379338487859663E-4|6440 
"*  17 Crt"  |38.03    |1.9346904672978837E-5|6221 
"*  17 Crt"  |38.03    |1.9346904672978837E-5|6244 
"*  17 Crt"  |38.03    |1.9346904672978837E-5|6253 
"*  17 Crt"  |38.03    |1.9346904672978837E-5|6262 
"*  17 Crt"  |38.03    |1.9346904672978837E-5|6308 
"*  17 Crt A"|35.6037  |1.3342652821268786E-5|6240 
"*  17 Crt B"|35.5239  |3.268981564152895E-5 |6269 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|4790 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6146 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6222 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6262 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6289 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6312 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6359 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6379 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6380 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6401 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6442 
"*  17 Cyg"  |47.6516  |1.4259966742979913E-5|6455 
"*  17 Lyr"  |22.8557  |1.3342652821268786E-5|6880 
"*  17 Lyr"  |22.8557  |1.3342652821268786E-5|6887 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6040 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6062 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6100 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6106 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6130 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6146 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6164 
"*  17 Vir"  |33.341   |1.6024547526471977E-5|6205 
"*  18 Cam"  |23.1463  |1.1082614056423523E-4|5879 
"*  18 Cam"  |23.1463  |1.1082614056423523E-4|5891 
"*  18 Cam"  |23.1463  |1.1082614056423523E-4|5907 
"*  18 Cam"  |23.1463  |1.1082614056423523E-4|5908 
