            main_id            |plx_value|     rvz_redshift     |teff 
"2QZ J103158.2+012052"         |3.4404   |-1.667806568095287E-5 |18132
"2QZ J103351.6-002009"         |4.5232   |-5.2E-4               |14560
"2QZ J103351.6-002009"         |4.5232   |-5.2E-4               |16705
"2QZ J103351.6-002009"         |4.5232   |-5.2E-4               |16755
"2QZ J104549.1-013138"         |2.8461   |-1.5377186559750733E-5|13548
"2QZ J104549.1-013138"         |2.8461   |-1.5377186559750733E-5|14107
"2QZ J105549.5-010026"         |2.9168   |-4.339574718981165E-5 |16717
"2QZ J105549.5-010026"         |2.9168   |-4.339574718981165E-5 |17414
"2QZ J110623.4+011520"         |5.084    |-2.8919588882403424E-5|11230
"2QZ J110623.4+011520"         |5.084    |-2.8919588882403424E-5|11291
"2QZ J112620.7-024140"         |1.8806   |-1.0E-5               |11436
"2QZ J112620.7-024140"         |1.8806   |-1.0E-5               |11470
"2QZ J112620.7-024140"         |1.8806   |-1.0E-5               |11640
"2QZ J112623.8+010856"         |1.8182   |-1.0E-5               |20394
"2QZ J113140.2+003304"         |2.9364   |-4.122767230596569E-5 |13417
"2QZ J113140.2+003304"         |2.9364   |-4.122767230596569E-5 |14462
"2QZ J113249.6-020914"         |2.2067   |-7.0E-5               |12042
"2QZ J113249.6-020914"         |2.2067   |-7.0E-5               |14217
"2QZ J113249.6-020914"         |2.2067   |-7.0E-5               |14408
"2QZ J113354.1+001844"         |1.7517   |-2.0E-5               |19868
"2QZ J113354.1+001844"         |1.7517   |-2.0E-5               |19921
"2QZ J113354.1+001844"         |1.7517   |-2.0E-5               |20096
"2QZ J113354.1+001844"         |1.7517   |-2.0E-5               |20673
"2QZ J113354.1+001844"         |1.7517   |-2.0E-5               |20758
"2QZ J113914.0-003821"         |1.8835   |-5.144903359363129E-4 |15310
"2QZ J113914.0-003821"         |1.8835   |-5.144903359363129E-4 |15601
"2QZ J114049.4-025713"         |2.4074   |-1.0E-5               |14812
"2QZ J114049.4-025713"         |2.4074   |-1.0E-5               |15000
"2QZ J114049.4-025713"         |2.4074   |-1.0E-5               |15020
"2QZ J115201.1+015623"         |4.0037   |-1.1E-4               |21752
"2QZ J115201.1+015623"         |4.0037   |-1.1E-4               |22292
"2QZ J115201.1+015623"         |4.0037   |-1.1E-4               |22550
"2QZ J115201.1+015623"         |4.0037   |-1.1E-4               |23076
"2QZ J115201.1+015623"         |4.0037   |-1.1E-4               |23320
"2QZ J115305.7+005646"         |6.0478   |-0.00345              |91636
